 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";-;1;-;-;-;-;-;7;42;105;393;1828;5242;5562;5105;5175;5148;6099;7080;7332;6875;6907;6699;5864;7062;6923;9130;8415;8403;7383;7884;8161;8019;8521;8352;8359;8670;7945;9036;8551;8622;7861;8332;8618;8403;8182;8293;7930;7821;7785;8691;8836;8274;8195;7814;8681;7918;8245;8254;7422;8153;7955;8570;8422;8605;8013;7832;7917;7448;7948;7605;7318;8123;8072;9354;9352;8818;8400;8895;9254;8940;9568;9482;9094;9469;8764;9715;9807;10377;9758;9830;10099;10146;10043;9769;9190;9094;8639;9954;9415;9914;9280;9374;9479;9365;9283;8938;8882;8780;8810;9742;9819;10085;9687;9171;9362;9205;9338;8556;8351;8496;8227;10310;9520;10111;9406;9453;10057;9594;10208;9734;9668;9775;9161;10508;10333;10913;10051;10068;10339;9821;10357;10086;9561;9448;9580;10572;10785;11290;9995;9940;9942;10147;10367;10365;9861;9837;9506;8710;7156;7434;7638;8376;8848;8379;8791;8865;8362;7221;4779;2106;1387140
"12 Acre";1;-;-;-;-;1;-;5;17;100;573;1490;3735;3723;4163;4223;4471;4478;4083;3823;4182;4141;3928;4060;4053;3782;4519;4274;4597;3933;3787;3027;1971;4232;4158;4026;4034;3624;4556;4508;4293;3963;3958;4102;4156;4406;4124;4054;4621;4129;4573;4344;4859;4355;4311;4304;4234;4118;4148;4116;4524;3892;4580;4266;4375;4388;4724;4449;4512;4647;4401;4008;4430;3867;4569;4513;4266;4068;4358;4402;4311;4631;4299;4057;4169;4054;4381;4632;4667;4502;4462;4339;4024;4540;4347;4084;4034;3705;4142;4071;4091;4166;4042;4114;4117;4150;3746;3866;3968;3952;4044;3843;3920;3993;4088;4082;3776;3764;3398;3735;3773;3471;3804;3367;3762;3857;3920;4025;3826;3990;3956;3666;3963;3523;3964;4010;3948;3844;3963;4054;3784;3959;3117;3024;3509;3162;3259;3589;4065;3986;4032;3872;3971;4112;3650;3596;3840;3792;3648;2829;2818;3029;3549;3574;3724;3973;3834;3821;3588;2898;1788;637069
"13 Amazonas";3;2;-;1;-;-;1;59;69;565;2780;9979;13628;13828;14869;14323;14904;14578;14936;14413;13346;12602;12137;12050;12585;12170;13891;12228;12526;13409;13492;13728;13201;12614;12707;12549;13542;12401;14616;13674;13545;13197;13188;13595;13485;14067;13212;13308;13978;13488;15187;14388;13665;13539;13345;13716;13051;13756;14317;11684;13007;12189;14762;14168;14677;13942;14254;14202;12926;13946;13310;12289;15031;12385;13776;13867;14392;13983;13753;13523;13174;13560;13226;12245;12564;11127;12367;12653;12928;12320;12944;12999;13696;13899;13206;12632;13860;12955;15015;14308;15143;14908;14882;14464;14233;14099;13598;13317;14122;13382;15170;14597;14716;14403;13866;14005;13060;13337;12312;12468;13586;13063;14837;14572;15575;15137;14971;15555;14415;15447;14493;14329;15371;13688;15559;15958;16321;15376;16276;16129;15388;16098;15183;14726;16056;14900;16965;16363;16663;16043;16828;17190;16336;16995;16072;15462;16599;15464;15343;12285;13272;13943;15417;15709;15727;15796;15424;16213;16344;10777;6256;2248754
"14 Roraima";-;-;-;-;-;1;-;14;8;73;818;1121;1898;1739;2047;2211;2415;2295;2228;2298;2116;2205;2122;1986;2224;2142;2525;2256;2372;2371;2646;2610;2558;2473;2447;2236;2568;2277;2828;2590;2984;3028;3085;3099;2800;2658;2528;2382;2541;1984;2077;2185;2620;2596;2568;2735;2837;2702;2669;2543;2463;2556;2811;2620;3019;2655;2529;2663;2395;1970;2519;2289;2597;2314;2779;2710;2879;3103;2902;2867;2827;2830;2650;2569;2724;2298;2750;2630;2884;2489;2870;2796;2788;2742;2704;2518;2756;2411;2730;2793;3062;2985;3144;3166;3041;2811;2783;2636;2897;2839;3107;2766;2929;3238;3282;3604;3104;3269;3226;3063;3276;3267;3755;3572;3988;3773;3727;3814;3735;3760;3621;3522;3663;3242;3477;3416;3727;3813;3939;4048;3814;3779;3258;3286;3516;3329;3463;3636;3632;3507;3922;4084;3956;4199;3925;3551;3731;3593;3452;2584;2884;2974;3080;3332;3302;3404;3248;3358;3356;2855;2154;465989
"15 Pará";8;6;-;-;1;1;4;404;798;3202;8690;24743;43817;40225;43274;44734;44894;43375;42102;42623;43120;41511;39500;38044;42604;39241;46754;45663;44842;43580;44144;45996;45576;44457;44155;41346;43745;42286;48037;44248;46360;43746;41934;45673;44367;42910;43087;42265;44268;42044;46579;42490;43492;41299;38734;43303;42302;41776;42089;40971;42733;40570;45619;42935;43561;38977;37421;38712;40217;39910;38601;35924;41496;38305;43818;44692;43359;40617;39326;40702;41392;41766;39842;38641;41269;39583;43563;42443;43213;39776;41218;41455;41701;40646;40219;37562;38735;35881;42959;41190;41785;39510;38562;39570;38830;39156;37784;36775;37912;37491;41969;40891;40156;38650;38226;41194;39850;37542;36531;33986;39046;35878;42632;38556;42574;39699;39191;41852;40184;41739;40430;38412;40951;37788;42206;43040;43194;41049;40483;42650;41033;43606;39448;38237;41265;38062;41238;40082;40816;36955;40696;40637;41054;42402;40457;39009;41444;38620;37848;29001;31523;32351;36010;37071;36673;38418;37120;35613;33495;24261;14718;6479075
"16 Amapá";-;-;-;-;1;3;25;75;272;258;524;1602;2721;2511;2390;2663;2740;2699;2674;2931;2852;3017;2897;3018;3110;2687;3299;3236;3407;3119;3086;3357;3228;3029;2885;2890;3070;2715;3169;3134;3074;3159;3201;3468;3180;2912;2722;2654;2976;2789;3221;3329;3258;2912;3034;3119;3204;3185;3121;2933;3070;2972;3335;3193;3310;3019;3342;3344;3147;3326;3136;2892;3123;2955;3278;3422;3202;3001;3128;3271;3247;3510;3172;3043;3187;2974;3145;3259;3136;2652;2969;3093;3194;3181;2725;2521;2595;2471;3019;2959;3062;3087;3033;3088;3093;3041;2825;2550;2595;2403;2819;2686;2777;2965;2702;2791;2670;2601;2593;2490;2805;2449;3163;2903;3096;2941;2844;3091;2938;2834;2663;2484;2744;2540;2797;3101;3139;3041;3132;3508;3510;3576;3303;3301;3454;3386;3533;3542;3272;3329;3356;3147;3494;3476;3298;3013;3313;3143;2956;2295;2526;2617;2746;2993;2822;3112;2890;2968;2950;1839;1161;478668
"17 Tocantins";-;1;-;-;-;1;1;8;48;206;1195;4961;8294;7846;8562;8793;8751;8466;7590;8346;8254;8491;7653;7512;8202;7828;9172;8587;8559;8358;7957;8383;8201;8415;8571;8045;8411;8013;9439;9026;8835;8130;8223;9221;8747;8501;8362;8151;8780;8440;9728;9267;9323;8790;8202;8985;8966;9133;9509;9020;8789;8822;9972;9762;9426;8641;8407;8851;8504;8332;7916;8025;8404;8161;9224;9186;9273;8835;8638;8772;9105;9295;8605;8277;8611;8109;8805;8781;8849;8745;8361;8863;8809;8843;7975;7520;7077;6763;7582;7893;7517;7282;6618;7028;6695;6694;6139;5461;5655;6267;6954;6999;6951;6483;6428;6288;6029;5973;6141;6029;6371;6182;7706;6637;6999;6820;6264;6640;6323;6243;5472;5991;5881;5176;6003;6235;6520;5582;5184;5636;5548;6041;6123;6173;5947;5842;6645;7160;7178;6876;6587;7165;7159;7229;7420;7480;7130;7149;6668;5899;5754;5999;6039;4805;3848;2251;475;407;433;480;650;1177323
"21 Maranhão";4;6;-;1;3;-;17;461;1103;2803;6274;13992;26181;25847;28377;29188;27669;27734;27433;27837;28582;27068;25929;23784;28154;26533;32689;30362;30650;29598;29856;30720;31897;32414;30618;28626;32634;29964;34454;33058;34014;33077;33117;33897;33798;33182;32886;31223;35259;33794;35398;33386;33579;31731;32043;34748;32711;33697;34656;32390;33516;31255;36262;33917;35671;32601;32819;33926;32594;31120;28128;26007;34606;30860;34829;35371;35497;32593;34185;34973;34829;36080;33898;32760;35660;33234;36398;35738;35727;33879;35399;35744;35563;34926;33229;31620;32898;31972;39622;37389;36215;34798;35745;35996;35135;36098;33143;31896;34748;34900;36984;35940;36457;34783;33183;35806;33652;31865;29897;26779;33978;32675;37923;35061;38425;36442;37396;36970;35629;37596;36921;35895;40245;34823;39330;41060;41571;38360;39493;40807;39192;40657;37595;35546;38425;35256;39536;40015;41332;37554;38756;38320;37972;39072;37990;36533;38344;35815;34905;25382;28312;29653;32088;32841;33038;34964;33217;30294;28989;24738;15003;5374355
"22 Piauí";-;1;-;-;1;-;4;137;372;1350;2993;7149;19593;18396;19739;19263;19030;18443;19004;19154;19262;19045;18080;16898;19666;17485;21947;20394;20794;20038;20602;20134;19845;19742;19976;18220;20698;18729;21582;19696;21043;19208;18938;19329;19146;18906;18722;17772;20830;19506;20486;19110;19198;17881;17827;18489;18449;18418;18330;17284;18825;17039;18556;18273;19971;18176;18298;18617;17986;17582;16823;16505;18356;16855;18652;20031;19873;18619;18527;18003;18259;18400;17181;16485;18572;17038;18200;18000;18635;17187;17368;17514;18337;17401;16408;15413;16653;15184;18345;18872;18417;16972;17130;17727;17703;17582;17204;16392;17888;17667;18845;18322;19068;18409;18178;18793;18089;17825;16978;16053;17649;16575;19275;17843;19171;17570;17055;17627;17131;17531;17552;17088;17954;15618;18214;18800;19455;17849;17887;18084;17725;18184;17392;17274;18007;16684;18223;17892;19081;17919;18250;18971;18943;20170;18364;17722;18528;17503;16099;11770;13180;13657;14643;15099;15925;16473;15871;15258;15033;11497;8028;2871888
"23 Ceará";1;2;-;-;-;-;5;416;528;1537;4231;12017;41997;41110;43877;45769;44941;41628;41498;39793;40935;39462;36021;35643;38793;36858;46459;43941;43101;41229;42061;41328;40248;40574;39162;38281;40270;37242;43821;41367;44091;41069;40715;41586;40045;39831;38972;38040;41969;41111;44395;41959;42245;39860;38608;40896;38911;39467;38308;37180;38888;35470;40890;39416;41397;37227;36701;37557;35987;36509;35037;31973;37588;34693;39317;41649;42672;37974;40017;39778;39375;39318;37454;36029;40498;38018;40552;41531;42888;39759;41223;40626;40679;40697;38049;36701;37878;34736;42330;42121;42559;40835;40948;40496;39426;40007;37450;35663;38227;38528;41265;41124;42010;40621;39544;40381;38955;38076;36475;35062;38292;36136;43538;39276;41603;39321;39372;40411;38522;40699;38493;37032;41073;36762;43070;44384;45198;42132;42383;43925;41140;44707;41740;39286;44387;41999;44211;45443;47018;42681;44644;44025;43790;45514;42225;41072;43862;41155;40495;30906;33851;34776;37583;37203;38548;39338;37830;35077;32157;23559;14977;6341079
