 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor médio intern por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"11 Rondônia";...;604,33;...;...;...;...;...;601,34;390,41;1272,81;882,73;389,36;349,02;348,94;383,10;414,17;442,96;430,32;419,97;400,75;413,66;416,70;414,99;452,22;445,70;445,20;458,97;480,12;469,64;456,78;471,92;464,08;458,83;453,72;439,15;434,68;439,71;492,36;516,05;529,12;554,25;555,87;555,98;518,02;555,59;548,81;533,44;552,89;533,63;551,46;537,91;575,77;570,97;572,31;552,79;550,45;530,79;530,29;531,75;545,05;548,60;555,31;567,07;545,00;532,19;557,58;531,19;545,03;542,87;539,73;544,19;542,05;550,50;542,42;587,55;575,37;586,30;583,28;621,36;636,45;712,25;658,43;705,11;677,70;670,54;691,36;693,82;671,38;728,35;710,69;727,43;688,97;695,62;706,64;713,00;740,32;767,95;766,76;753,63;782,26;771,21;813,11;793,54;763,12;792,95;824,55;831,17;853,50;800,13;767,34;798,59;785,00;848,84;862,51;855,49;847,16;820,74;852,82;813,99;859,11;824,77;869,66;849,90;854,36;805,13;854,91;867,35;831,60;822,37;842,86;826,83;843,99;865,21;847,83;843,06;813,61;869,87;816,46;895,07;882,58;856,00;812,14;857,73;856,96;887,84;902,43;856,07;854,08;840,62;860,52;897,30;896,11;828,76;860,84;863,35;878,28;846,57;886,95;832,52;1046,74;1204,96;1439,29;1251,19;1292,21;1059,42;929,05;988,04;1076,70;1165,31;1263,74;2247,12;718,32
"12 Acre";184,65;...;...;...;...;1099,17;...;2094,01;823,63;862,01;525,87;516,52;463,65;468,43;494,22;487,29;498,00;471,77;496,97;493,56;498,54;538,72;540,23;541,05;531,02;551,77;547,99;560,81;567,82;552,78;541,82;566,47;680,64;540,75;592,28;560,08;590,37;573,95;562,96;574,16;591,32;585,36;575,84;598,39;620,53;595,88;609,36;616,82;595,01;599,06;612,61;615,29;645,30;624,35;652,88;679,26;662,39;673,43;653,61;671,81;619,87;632,16;668,59;651,77;642,62;641,07;623,83;629,71;684,82;656,14;649,40;659,22;626,37;685,39;615,68;643,97;678,22;660,73;674,71;657,87;655,25;655,20;623,95;660,75;690,95;644,17;690,74;672,81;678,50;697,19;675,01;717,08;653,72;678,39;734,22;700,99;777,52;783,22;734,78;771,18;756,89;800,40;730,63;768,61;755,37;765,56;826,98;791,51;798,44;768,71;809,00;834,74;867,96;846,64;872,34;863,11;840,55;773,40;907,20;849,67;797,70;903,05;942,90;834,98;840,36;869,90;908,85;838,58;873,37;841,70;795,09;719,80;748,97;786,20;771,35;716,95;804,35;796,28;820,85;750,04;773,30;789,62;793,54;753,14;739,34;706,64;758,82;830,25;755,36;815,12;884,81;769,91;755,19;800,92;869,66;823,02;853,33;787,38;805,83;944,81;1043,59;1292,45;1142,04;1023,58;931,90;822,53;885,23;971,38;837,67;784,24;636,10;706,44
"13 Amazonas";378,28;475,94;...;531,94;...;...;212,75;605,98;660,44;736,30;726,76;596,19;837,92;573,81;581,18;595,66;609,23;593,11;586,22;578,07;610,53;609,56;639,49;644,38;683,93;689,07;662,81;667,36;683,56;707,36;701,53;675,04;688,80;730,81;682,62;666,65;693,17;675,19;706,15;730,60;721,09;693,48;693,07;694,17;722,48;710,65;721,53;701,52;701,14;701,49;721,31;731,84;739,52;736,12;747,31;726,59;755,58;741,98;749,87;744,84;771,71;736,54;748,45;739,15;782,88;765,85;772,42;758,09;740,35;716,32;748,15;725,75;722,21;761,36;738,25;760,04;771,96;748,56;756,25;802,43;791,02;781,64;774,57;760,05;754,14;739,20;802,46;814,74;804,31;861,46;813,55;830,02;830,39;847,58;853,82;867,60;876,61;877,19;891,06;919,71;855,99;900,43;890,60;930,41;886,83;928,30;845,39;870,82;817,44;896,00;890,50;895,23;926,45;912,53;915,36;893,82;890,85;908,88;877,73;957,16;899,02;894,83;908,18;941,38;893,07;906,31;961,61;883,66;969,81;899,56;932,73;951,58;946,55;931,73;947,97;913,52;942,41;953,02;955,06;1015,25;997,10;1009,44;938,91;969,31;956,58;946,31;949,25;987,26;992,02;966,78;988,96;959,50;939,74;961,43;922,22;967,91;962,85;980,76;965,65;1333,28;1478,70;1322,03;1252,11;1189,59;1184,50;1185,63;1325,96;1328,94;1495,29;1269,31;1086,81;852,58
"14 Roraima";...;...;...;...;...;413,69;...;341,85;1482,33;600,72;451,50;419,87;425,95;443,75;427,99;405,68;425,38;408,84;450,78;454,87;474,36;478,49;576,44;622,62;533,40;516,44;563,44;610,75;574,99;567,97;518,15;586,09;615,10;613,58;652,97;687,36;629,98;637,81;642,51;662,46;648,03;610,66;608,49;660,23;692,67;661,28;604,53;623,50;631,60;615,01;614,41;631,55;640,89;681,94;641,03;605,62;635,34;686,95;620,28;637,18;651,86;635,82;629,17;606,52;656,73;671,40;689,43;684,46;683,70;697,59;640,44;693,13;659,61;640,97;641,75;632,13;598,98;633,37;632,36;633,45;616,01;628,81;640,92;677,25;605,59;628,68;664,87;662,92;672,46;714,56;640,88;650,22;678,24;653,67;713,46;765,47;708,52;684,42;661,81;704,35;653,90;737,17;709,46;721,88;728,44;713,58;696,09;758,74;796,32;704,80;750,96;748,27;718,72;738,13;708,32;687,27;712,80;718,59;677,26;777,03;723,55;690,70;692,99;669,70;692,46;715,40;719,81;758,02;732,98;716,42;737,77;763,29;748,28;764,45;769,33;796,62;763,30;778,17;721,40;822,19;754,77;784,42;774,93;749,38;757,18;750,98;821,87;767,28;781,77;754,93;730,69;778,97;776,15;753,12;795,19;813,85;826,74;825,82;815,17;892,46;1013,01;1109,62;1036,39;979,10;902,07;973,35;1085,98;930,62;956,29;1066,48;1105,78;705,76
"15 Pará";624,36;363,83;...;...;210,20;399,57;2371,98;448,41;543,13;591,25;587,50;531,98;496,66;500,34;511,84;523,91;531,50;541,85;535,47;545,69;548,88;562,56;595,89;626,54;596,12;587,29;603,71;601,76;593,44;606,36;596,50;606,41;597,50;620,82;606,59;617,02;603,98;602,65;594,07;609,07;613,38;616,00;623,01;607,84;614,88;618,09;619,39;622,79;632,51;622,46;626,74;642,38;638,26;640,67;662,11;631,55;641,15;649,94;643,32;633,02;630,23;625,81;629,22;625,32;655,09;641,13;639,09;654,56;658,02;678,50;664,48;674,51;662,43;648,97;647,81;669,81;692,62;696,45;707,78;700,11;687,97;702,88;704,94;701,97;721,30;703,22;669,45;696,36;692,07;708,05;707,52;700,57;711,20;711,04;734,75;744,44;740,70;739,93;742,83;722,28;743,21;739,95;765,04;731,16;759,12;752,34;753,68;747,51;751,75;724,97;741,45;738,37;774,47;800,02;784,05;780,72;809,81;801,50;826,43;865,05;809,26;786,54;798,02;792,10;796,76;801,24;819,91;806,90;820,72;806,56;827,99;834,84;820,88;810,40;808,46;814,13;820,13;832,18;851,84;835,13;837,88;881,56;851,34;857,53;836,39;837,74;805,96;773,64;761,08;772,38;902,15;897,26;896,21;872,23;879,43;903,58;893,89;898,07;922,33;1006,33;1374,48;1267,18;1124,59;1046,46;1007,99;999,70;997,93;1036,54;1011,73;962,17;888,00;726,23
"16 Amapá";...;...;...;...;1647,39;2584,91;507,82;448,97;385,38;458,83;432,56;526,85;488,75;507,79;492,78;524,36;515,15;526,45;511,31;528,95;543,54;542,15;568,83;546,51;547,37;602,01;564,83;586,90;566,19;569,46;572,17;607,32;563,83;596,27;578,62;536,71;557,99;533,51;583,84;593,56;565,83;578,19;570,89;557,61;541,27;576,72;614,34;570,76;626,98;603,86;595,06;589,36;573,61;564,70;578,32;607,97;563,60;593,43;584,58;544,22;611,23;602,35;573,92;586,60;646,91;615,49;600,99;625,42;621,25;621,57;598,05;587,17;635,33;614,88;626,67;646,70;664,32;676,47;645,46;620,69;615,45;655,95;603,57;611,74;682,72;617,27;645,49;665,99;613,89;693,48;653,44;620,87;615,81;629,54;567,47;572,82;633,47;646,25;643,09;635,30;615,25;656,67;663,21;651,30;678,89;609,26;632,13;620,75;633,27;680,06;665,48;717,60;692,01;700,12;693,64;646,59;658,65;679,16;618,20;701,92;648,44;636,42;645,25;624,69;686,59;723,76;658,62;644,08;653,78;675,79;669,52;648,46;688,13;691,67;668,48;647,92;666,53;673,44;721,65;686,62;674,99;723,76;695,87;713,97;706,81;757,29;737,13;726,60;650,32;790,90;728,81;690,52;727,34;730,78;679,03;710,72;709,63;745,38;773,47;773,23;1093,23;1045,18;923,76;902,96;897,75;887,53;939,35;952,36;852,12;834,55;851,99;647,34
"17 Tocantins";...;578,69;...;...;...;34446,08;586,69;514,22;1596,52;1668,46;894,30;609,19;619,30;643,89;607,35;607,72;610,73;637,66;666,86;624,65;630,17;708,17;680,14;747,46;734,26;764,46;724,05;752,42;773,73;754,08;795,59;794,11;765,74;788,73;752,83;781,96;743,74;720,36;754,50;755,15;798,24;781,58;835,78;759,89;763,91;800,53;786,29;783,48;790,65;781,88;762,10;761,05;788,16;818,62;815,94;818,54;780,91;784,30;776,89;767,07;786,40;777,75;798,50;775,41;835,30;813,53;869,48;851,20;830,85;870,61;891,79;888,00;850,75;841,49;859,80;853,82;861,16;830,76;807,29;830,22;832,93;817,86;832,85;821,79;829,83;825,29;819,54;864,78;897,06;852,36;916,97;865,54;868,19;927,13;872,46;943,01;919,82;909,48;921,66;898,21;904,28;968,75;993,78;964,29;949,12;957,52;943,78;1001,94;1058,29;978,99;945,98;975,72;962,77;1031,28;987,86;1012,16;962,44;1020,53;1000,44;1045,04;973,00;962,39;959,06;933,68;934,71;966,32;981,61;976,70;883,33;897,53;861,30;919,11;957,79;910,12;853,07;857,62;913,49;982,52;1050,50;978,51;988,86;1000,15;1015,38;1015,69;1086,69;990,40;991,43;1010,55;969,24;1036,54;1080,47;996,52;994,55;1049,66;1023,47;1012,44;1013,70;1027,20;1053,93;1061,44;1284,48;1312,14;1313,90;1350,45;1099,11;823,21;1071,60;1693,82;802,83;867,78;1428,86;866,40
"21 Maranhão";691,77;478,52;...;295,36;2363,53;...;2491,81;835,86;923,26;812,60;690,86;631,25;823,18;520,46;519,82;519,00;525,63;524,77;529,90;524,84;535,93;576,98;603,34;615,73;586,39;577,54;581,25;591,13;596,23;611,80;603,77;604,38;586,59;587,55;600,07;613,38;590,86;586,34;618,68;599,08;606,99;601,24;612,16;604,90;591,82;592,98;583,26;588,44;583,08;591,16;594,72;611,87;607,35;619,33;624,06;621,06;618,93;603,43;595,61;618,77;646,49;634,88;615,28;646,78;669,04;658,79;676,96;677,46;653,48;674,10;689,67;716,51;728,50;694,92;688,65;693,31;702,85;734,01;709,68;706,00;712,85;719,42;708,61;707,41;715,29;716,19;723,53;727,77;733,97;728,73;740,90;732,42;732,97;750,36;751,63;726,73;754,45;719,50;709,69;736,79;769,33;728,65;759,41;751,67;743,01;733,55;733,04;736,19;728,57;709,47;730,96;737,56;757,72;763,05;783,36;775,69;780,89;795,65;795,09;804,56;763,16;756,15;757,04;744,33;755,48;749,83;761,83;794,19;765,71;764,53;760,63;754,51;731,61;757,08;760,37;752,49;728,43;741,76;780,06;755,72;764,88;762,62;751,11;782,15;784,93;783,26;766,97;761,59;788,81;794,49;807,45;818,76;832,65;773,06;818,16;817,96;825,28;806,26;842,32;967,44;1230,42;1210,48;1059,32;996,05;968,15;984,74;976,81;1020,90;924,41;940,26;1152,74;720,29
"22 Piauí";...;162,01;...;...;428,77;...;3043,18;1611,59;950,18;798,65;803,89;689,58;580,59;527,92;528,30;530,96;555,03;567,43;558,73;555,81;573,04;585,11;585,35;600,77;631,14;623,17;626,71;616,39;622,12;609,13;625,35;639,60;629,74;635,27;621,84;609,12;606,55;608,58;630,44;617,24;621,44;627,98;622,35;636,24;626,60;654,26;624,21;642,18;701,43;628,82;643,74;663,44;660,24;680,06;668,60;657,64;680,95;662,59;663,45;671,65;681,76;681,44;686,78;668,27;683,09;688,46;723,64;711,05;718,39;740,24;719,23;720,60;730,43;726,70;748,32;756,79;737,27;796,07;775,85;782,72;759,07;765,34;768,00;739,81;757,76;782,99;769,72;775,82;775,94;800,24;841,12;840,36;787,45;821,43;845,07;857,16;816,54;830,83;810,48;782,87;796,37;851,34;844,00;842,73;843,66;840,52;829,96;852,86;819,72;804,44;837,68;858,20;861,15;883,00;873,87;868,27;867,89;857,95;877,86;891,01;886,74;882,87;872,58;883,35;886,23;883,59;903,14;892,45;893,55;893,07;889,10;880,32;890,02;873,72;887,46;867,74;888,24;903,85;906,62;915,21;889,26;923,85;905,24;903,39;939,48;932,51;926,20;937,82;944,22;957,93;960,16;940,06;945,83;950,57;962,02;950,62;934,44;931,76;964,95;1045,28;1186,88;1374,56;1763,13;1487,00;1295,89;1233,95;1261,55;1268,33;1226,45;1186,05;1188,61;794,21
"23 Ceará";149,65;1593,17;...;...;...;...;739,74;860,35;1084,01;1213,45;1212,91;898,56;772,54;672,42;685,68;685,53;694,02;707,79;730,22;736,43;743,50;804,35;844,40;849,08;828,06;783,42;775,28;806,66;809,59;810,09;819,28;825,83;830,11;831,64;824,41;835,44;844,35;825,16;824,02;825,29;835,51;815,37;842,94;854,47;849,90;855,92;841,83;873,00;825,32;842,83;848,25;850,43;882,00;899,83;911,16;913,65;905,63;936,17;908,50;889,66;928,23;906,19;888,52;957,36;933,94;957,99;979,12;993,46;968,41;1012,46;982,29;1021,55;1020,25;1029,34;961,77;1004,28;1009,39;1005,79;1027,09;1069,07;1079,18;1070,31;1062,75;1076,60;1071,81;1061,88;1060,25;1047,20;1058,01;1096,08;1078,41;1072,09;1057,66;1070,17;1082,95;1126,79;1082,26;1138,35;1067,97;1048,39;1012,82;1090,21;1102,19;1154,76;1119,39;1147,17;1148,20;1165,32;1139,18;1066,94;1107,29;1071,42;1135,49;1171,63;1168,83;1187,43;1162,20;1142,77;1199,98;1204,29;1160,74;1135,08;1112,45;1131,45;1147,98;1214,45;1214,35;1199,07;1191,82;1208,09;1162,53;1200,38;1182,93;1145,76;1129,26;1144,68;1150,46;1125,20;1130,56;1169,64;1131,75;1168,21;1143,22;1150,40;1155,81;1131,79;1145,74;1151,69;1177,89;1171,43;1217,19;1173,71;1181,79;1185,40;1189,24;1179,65;1211,56;1196,31;1153,67;1454,61;1747,44;1645,56;1555,18;1481,55;1396,38;1390,00;1428,13;1433,18;1360,31;1281,33;1146,63;1039,54
