 Procedimentos hospitalares do SUS - por local de internação - Ceará
Valor médio intern por Município e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Município";"2007/Jan";"2007/Fev";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"230020 Acaraú";...;...;...;...;...;...;682,99;352,57;379,25;379,18;382,88;385,00;387,63;391,01;405,15;358,06;368,01;395,23;380,17;432,27;404,65;365,17;397,09;404,59;439,85;403,20;421,25;400,69;439,30;440,92;420,58;421,32;418,03;400,18;404,58;435,91;416,98;428,44;436,61;424,02;428,66;423,89;406,73;392,33;384,70;407,54;410,36;409,99;411,25;426,45;400,26;404,60;424,88;428,57;427,45;430,48;415,29;407,79;426,89;410,02;433,63;407,77;421,77;411,57;435,65;409,81;449,03;429,88;417,05;430,10;437,27;446,86;422,13;417,16;435,42;447,36;411,23;450,90;407,58;409,01;415,35;418,31;424,96;428,14;454,81;473,39;470,54;461,53;434,76;420,44;429,95;431,33;417,24;405,87;398,41;429,35;405,07;402,80;399,33;413,64;430,06;408,36;418,02;431,73;412,76;402,89;407,34;489,64;490,07;429,38;419,44;424,78;404,22;408,48;425,15;393,45;412,39;424,85;419,49;415,00;439,88;422,20;434,53;473,29;431,94;422,69;435,17;428,58;427,18;423,76;424,41;432,52;417,75;425,05;449,19;445,45;484,72;444,20;486,85;483,08;416,56;414,49;426,10;481,10;430,32;436,98;435,91;442,41;421,71;436,45;468,64;462,23;452,75;407,62;417,09;444,27;595,53;581,94;507,76;512,00;479,70;446,61;420,57;423,51;468,68;...;...;425,30
"230030 Acopiara";...;...;...;627,91;...;600,80;450,92;502,92;413,84;404,71;433,63;441,20;431,30;448,53;439,09;406,94;394,13;423,88;441,34;474,92;449,35;450,20;430,55;463,94;489,59;480,78;461,51;491,28;482,20;382,34;456,95;459,49;452,27;439,80;462,97;466,03;504,83;479,33;505,09;457,25;424,95;420,43;404,05;389,10;418,15;445,23;496,05;476,60;501,63;473,53;489,66;472,13;489,38;493,85;446,56;460,76;443,41;427,97;466,74;468,73;462,13;475,10;425,68;433,34;451,93;441,56;469,95;422,13;441,03;421,67;457,82;473,55;462,28;456,12;469,93;468,91;473,48;509,41;432,40;463,80;468,03;477,52;518,41;516,28;509,77;520,76;498,47;513,81;490,84;482,58;530,66;524,20;512,35;505,13;497,22;503,48;484,98;514,13;423,42;465,24;500,63;527,45;504,03;504,92;505,77;493,69;493,19;524,63;515,45;483,63;504,93;490,30;521,64;507,82;500,97;514,70;536,00;485,59;499,71;448,37;469,55;481,54;511,60;475,58;462,50;439,27;508,56;612,71;504,71;477,27;480,95;458,11;472,55;499,85;503,50;501,92;524,25;508,16;498,69;498,89;443,29;463,03;448,37;530,03;479,80;464,24;480,91;480,45;521,06;501,13;535,88;468,56;532,01;448,97;497,09;575,00;577,31;693,81;669,66;754,21;669,10;679,57;642,01;594,29;531,00;659,10;966,95;482,31
"230040 Aiuaba";...;...;...;...;...;...;403,09;426,16;426,90;264,20;342,91;288,60;399,85;357,17;377,05;426,41;413,92;418,31;444,79;458,85;418,72;384,15;396,37;371,32;380,28;440,58;439,64;404,81;375,37;418,15;445,49;415,23;440,54;368,06;394,98;368,85;344,33;405,48;398,26;339,49;438,39;432,85;402,10;292,65;422,87;400,03;410,12;429,85;398,30;456,96;384,87;443,40;394,80;392,37;415,52;433,93;379,99;370,86;429,37;412,21;367,96;380,99;414,91;333,58;398,21;341,93;456,51;411,71;354,19;296,83;361,23;523,90;358,90;478,51;437,44;556,27;352,49;446,63;354,47;366,28;198,81;453,66;431,95;582,42;...;332,67;...;311,48;447,58;230,50;421,81;451,40;500,18;452,74;369,28;362,82;214,70;377,60;...;...;...;453,66;516,91;451,40;456,50;484,74;267,57;...;424,96;218,68;441,28;425,97;400,55;443,40;480,87;582,42;307,15;271,79;343,11;507,73;611,68;379,61;460,84;699,46;326,44;382,64;373,36;506,81;375,36;416,36;415,27;464,66;446,99;388,61;423,14;375,84;372,96;346,05;402,07;337,29;307,47;421,12;421,87;336,49;443,57;447,32;445,57;417,82;382,24;403,87;372,03;340,26;399,78;426,36;385,24;528,63;522,08;510,09;419,00;593,75;551,55;653,86;366,91;511,25;...;...;...;408,81
"230060 Altaneira";...;...;...;...;...;...;266,02;292,67;301,90;321,03;265,95;387,20;306,75;329,24;334,83;265,35;340,39;319,68;334,51;359,95;332,02;295,93;340,44;460,07;343,74;419,06;397,90;343,54;416,71;373,80;440,96;...;363,22;331,30;276,47;308,16;364,27;301,58;357,33;303,76;335,70;219,38;281,94;371,31;306,13;353,52;366,08;400,43;337,72;356,95;347,32;300,48;313,21;316,85;304,79;304,89;306,52;356,84;272,57;319,67;270,23;289,14;315,67;359,24;266,25;369,98;436,84;354,30;...;186,06;378,90;492,20;300,79;373,58;364,90;291,17;371,44;294,23;...;343,84;258,98;310,44;...;277,74;332,69;233,82;332,84;361,36;433,11;459,82;308,15;285,92;339,39;319,13;332,90;313,83;257,93;393,61;361,53;491,72;207,77;301,40;289,75;557,11;302,74;363,69;465,55;304,08;160,18;504,34;410,69;506,80;479,04;504,95;494,67;582,42;483,47;368,72;388,17;432,12;414,71;334,84;366,33;442,24;369,95;414,98;316,08;493,53;394,81;360,58;362,09;388,65;445,14;369,14;418,27;380,24;395,92;447,40;345,30;402,82;390,39;362,50;414,15;411,69;469,72;411,45;347,07;377,29;403,87;410,16;445,02;377,79;338,85;433,36;319,93;393,33;475,60;404,46;466,02;474,71;688,95;390,35;1148,21;...;...;...;...;364,21
"230070 Alto Santo";...;...;...;...;581,36;293,68;586,69;320,47;328,90;354,87;341,07;359,53;380,06;368,29;341,91;335,22;301,55;322,05;378,02;362,57;358,92;363,67;385,58;412,31;380,18;386,64;366,68;406,09;378,23;378,07;346,83;451,44;353,10;335,55;351,79;343,66;384,92;389,76;398,98;384,42;339,13;351,54;334,65;334,42;381,96;374,30;409,30;421,56;432,46;378,76;393,66;393,49;360,41;377,68;385,88;349,01;354,06;372,14;376,75;421,80;359,73;377,11;355,97;358,38;395,38;369,87;339,94;336,24;344,83;322,29;334,16;370,16;361,73;391,97;392,23;414,34;342,18;347,41;355,00;380,82;311,66;338,65;405,93;370,82;392,65;341,52;398,00;391,17;354,02;395,23;374,30;368,52;344,01;328,61;400,65;407,43;437,90;446,59;417,68;440,84;388,77;323,68;303,93;405,70;426,92;387,23;488,52;409,87;461,08;398,81;464,93;426,97;406,66;341,94;403,96;415,77;316,81;361,63;363,01;415,56;396,01;378,47;357,93;337,67;389,74;302,74;350,52;395,96;329,32;361,62;364,60;440,23;445,29;425,73;383,29;417,52;405,31;379,60;391,49;350,44;427,17;393,78;387,07;433,49;423,46;465,43;458,68;443,71;423,42;403,53;392,70;516,21;411,97;490,26;430,14;427,16;672,46;968,42;874,07;668,00;720,98;578,63;297,23;549,41;756,41;606,42;963,97;379,08
"230075 Amontada";...;...;...;...;...;...;534,89;409,66;432,23;423,75;426,44;426,26;435,07;435,18;415,27;396,18;396,64;392,27;387,83;450,20;460,40;386,90;408,62;433,24;461,04;424,48;440,19;444,28;423,47;419,53;406,31;408,08;419,94;404,42;426,94;440,10;447,07;411,29;438,72;437,26;438,39;441,83;460,80;410,21;399,32;416,49;411,83;404,01;451,30;436,27;383,09;436,17;404,30;394,94;437,67;399,36;403,25;418,45;426,18;455,43;413,16;348,30;417,27;393,33;456,76;439,10;441,73;407,15;414,78;386,76;410,54;450,45;403,70;392,59;207,07;301,09;414,18;378,75;377,18;301,70;342,20;438,40;523,78;374,79;391,95;414,10;397,24;426,35;448,53;383,32;503,92;373,31;422,36;377,08;257,50;439,04;500,20;371,61;436,88;492,56;416,30;469,52;443,40;443,40;537,92;364,70;378,75;478,10;431,71;432,54;378,90;426,09;313,75;441,44;...;...;451,40;...;449,40;...;443,40;443,40;443,40;443,40;397,59;335,79;417,30;329,48;443,40;443,40;220,50;443,40;...;...;379,06;378,78;576,92;382,54;441,05;308,56;420,03;307,15;380,25;377,99;380,41;330,31;371,24;394,27;416,97;423,00;412,27;443,40;371,51;430,22;371,19;444,63;657,72;564,70;466,20;518,39;430,83;370,43;417,18;...;...;...;...;421,73
"230080 Antonina do Norte";...;...;...;...;...;...;236,36;237,96;312,60;301,80;269,71;301,20;292,29;283,30;274,76;292,08;349,88;353,49;317,29;398,74;367,68;374,23;392,28;397,09;369,19;357,46;373,78;372,53;325,26;363,87;308,75;309,83;338,03;320,74;338,65;367,79;335,35;321,50;358,61;317,42;308,57;335,26;393,64;340,89;347,51;378,01;361,61;344,43;409,48;394,16;344,13;322,33;327,89;304,43;388,28;396,99;282,09;326,46;308,46;414,53;236,78;355,49;314,41;346,70;360,47;229,20;302,78;321,89;351,59;348,23;351,95;397,13;...;...;...;...;...;...;...;...;227,31;265,29;359,10;...;...;...;298,81;336,15;211,76;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;368,73;429,24;282,61;372,07;400,50;433,05;478,15;505,01;497,29;398,21;474,65;420,02;478,58;544,74;654,65;308,91;512,91;526,81;510,00;322,48;354,40;453,66;583,78;512,91;368,01;534,91;410,72;429,12;313,86;582,42;443,40;...;...;...;...;189,67;443,40;582,42;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;204,50;396,06;791,68;351,04
"230090 Apuiarés";...;...;...;...;...;...;...;436,74;330,25;385,97;357,24;397,79;474,45;374,85;342,96;408,67;374,51;277,65;581,18;374,29;425,27;314,84;394,38;457,44;422,70;334,76;454,93;310,98;292,62;409,94;414,46;397,02;426,11;475,40;399,80;521,74;430,75;483,48;376,80;527,23;338,43;383,39;387,06;363,62;391,05;417,36;482,31;467,64;443,06;443,15;423,28;444,70;394,49;420,47;379,58;373,55;408,78;445,19;328,99;368,03;316,12;472,37;368,57;402,89;427,75;349,11;403,25;491,83;449,33;403,14;414,32;517,32;459,70;582,42;292,62;527,11;370,05;436,85;368,01;415,04;323,40;310,40;368,85;397,49;395,74;374,09;323,95;292,62;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;448,88;...;292,62;536,08;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;418,56;463,58;433,84;321,64;457,11;521,77;434,10;471,85;425,83;594,38;507,59;449,19;495,65;473,14;539,44;470,81;396,42;397,07;380,63;381,25;428,36;464,30;...;475,13;537,25;531,14;1100,79;1029,20;705,15;444,39;337,51;434,73;317,62;...;...;...;...;448,38
"230100 Aquiraz";...;...;...;...;...;419,82;350,43;360,85;375,77;382,12;371,80;370,85;384,58;377,68;390,45;343,16;363,00;382,68;336,70;367,02;365,97;429,16;406,44;467,01;445,38;453,31;436,06;427,00;431,12;430,91;445,41;407,52;395,09;414,59;390,86;385,25;412,79;395,74;413,96;399,59;374,33;372,51;367,72;377,80;380,80;390,88;409,15;362,38;418,04;360,05;402,24;393,96;406,08;400,57;368,95;394,33;360,56;386,70;408,22;367,19;337,98;347,25;432,34;417,14;374,30;424,25;439,26;355,29;392,99;368,49;422,09;431,96;433,38;424,16;358,75;405,92;415,44;383,51;400,01;392,48;411,13;449,82;433,27;442,83;493,43;451,61;427,59;428,84;405,66;433,20;399,36;399,92;419,66;394,21;386,00;416,98;390,67;367,39;427,04;411,86;398,38;375,89;390,65;416,78;426,91;391,61;438,31;372,08;434,05;433,84;409,06;455,90;513,48;422,41;378,44;388,54;404,77;439,13;424,16;382,86;412,16;367,83;399,49;390,77;357,43;402,46;367,27;365,62;424,12;401,03;414,79;385,51;384,46;410,39;381,46;396,10;594,72;374,34;454,15;340,36;385,79;369,22;398,59;433,25;392,50;404,23;410,24;370,44;365,16;398,29;420,82;432,16;427,75;424,01;448,69;622,43;971,31;630,17;478,76;453,63;502,46;515,46;520,59;479,17;528,72;590,38;746,18;420,05
"230110 Aracati";...;...;...;...;690,29;234,60;226,96;199,66;213,29;397,20;383,34;387,56;417,46;412,92;420,29;400,10;396,46;367,00;394,60;408,19;440,69;423,61;478,51;479,05;474,31;473,37;475,74;468,61;429,33;448,79;478,30;492,07;453,96;484,38;480,41;469,87;486,16;491,62;470,55;473,04;506,71;477,15;503,72;491,25;481,52;453,62;456,86;500,41;500,35;496,04;479,10;473,70;490,04;446,87;481,65;452,78;467,82;500,86;452,40;468,52;474,77;464,79;472,49;437,01;467,84;447,67;445,96;460,80;440,29;462,58;453,67;459,46;456,03;470,52;451,40;434,29;439,16;434,37;447,16;462,99;445,88;465,77;440,73;486,58;500,86;476,08;459,98;446,40;508,48;484,01;497,77;512,91;479,87;489,50;490,61;528,75;488,93;467,97;462,18;483,53;495,16;511,83;529,63;524,67;457,66;488,06;476,69;471,90;500,31;498,82;498,21;471,16;475,75;506,77;490,42;494,68;480,35;464,05;480,54;475,48;503,63;534,13;527,58;527,86;536,25;506,31;509,34;530,19;519,30;548,07;543,90;540,32;542,03;551,71;571,95;561,19;519,04;517,89;544,02;520,20;498,02;533,81;517,91;513,85;541,90;556,06;584,44;518,27;550,46;527,40;530,66;530,64;523,53;537,08;519,09;537,57;706,94;677,25;602,22;556,25;565,44;576,53;584,53;534,50;604,92;613,05;773,27;489,27
