 Procedimentos hospitalares do SUS - por local de internação - Ceará
Valor total por Município e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Município";"2000/Fev";"2000/Nov";"2003/Jan";"2005/Fev";"2007/Jan";"2007/Fev";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"230020 Acaraú";-;-;-;-;-;-;-;-;-;-;1365,97;7756,61;82676,41;114891,09;116394,76;118194,80;112024,71;108310,19;110200,86;79847,91;102307,11;84578,63;83257,75;13832,70;108849,85;109549,61;141759,48;131492,50;138993,67;113299,98;114157,60;128622,53;134865,64;137124,92;138790,27;114600,08;113286,70;110848,94;146862,90;135133,06;149280,45;139670,62;135350,61;127631,46;123881,94;123351,07;102496,45;105143,25;118873,14;118595,12;146500,13;133245,56;138591,43;142433,16;116076,35;126638,55;132137,52;132855,79;126525,96;150666,49;136214,85;133755,61;147702,35;167287,46;160443,13;140271,94;140029,28;144874,36;143763,18;129091,27;116748,90;123375,00;75069,81;60213,87;138615,19;128250,11;121573,66;146840,01;141077,00;135101,48;143108,00;156460,59;130427,20;109613,80;139556,38;115036,55;153411,59;141285,18;136897,97;105565,44;125163,99;141227,37;100863,23;143789,85;97597,70;157865,04;146452,61;103497,03;149402,37;185048,56;138535,18;131714,15;131779,77;141052,51;139769,74;126184,67;142126,01;135563,69;120939,85;155111,62;145014,57;147869,86;101444,98;107344,91;151838,18;149948,16;118840,21;117642,26;124993,39;135740,97;128664,28;125755,05;166119,98;131970,78;193985,48;155793,42;155127,67;105070,82;157658,92;166117,66;162318,28;149144,67;122601,78;151706,95;183345,12;168681,64;207623,10;170869,86;124875,34;119826,25;143960,64;183009,97;124633,49;146372,00;167872,16;139684,69;44740,86;91890,64;153624,35;175227,78;129901,94;158382,10;156033,63;167597,95;159336,53;146528,13;135826,45;66033,72;125544,39;109290,92;86352,05;103584,53;113231,06;93183,73;118485,86;113438,04;141733,72;145688,14;146227,62;-;-;20554520,01
"230030 Acopiara";-;-;-;-;-;-;-;1255,82;-;1201,60;1803,68;6035,05;136153,05;152981,70;138762,43;122212,06;115588,03;113925,41;100111,73;115570,95;94984,25;96643,75;79441,35;30869,87;114134,97;131008,64;159304,64;152172,76;126802,64;121637,93;98763,46;89412,25;80527,11;36322,05;110581,79;115332,72;133873,07;115227,98;136113,79;109983,01;116616,57;94427,34;4040,73;68587,03;76916,21;76937,80;71113,13;75875,05;72758,76;88155,98;75894,98;73873,11;76248,26;78133,12;87158,65;69403,42;72428,44;79510,30;80380,67;79711,47;75379,12;68902,51;97082,77;69841,24;67471,18;74114,91;65555,32;79301,73;70049,10;71973,89;49344,78;5487,66;65713,13;53130,31;73709,40;88081,01;92918,57;87574,65;67200,19;61896,24;59659,04;71317,84;51887,66;62148,73;75821,56;85953,53;86055,23;77441,86;91247,94;65615,47;77262,38;71419,54;67736,06;69974,58;65271,25;58185,90;55333,82;56574,20;71599,96;85087,76;69837,01;61181,71;35990,57;55363,77;75595,26;69623,13;75100,93;68164,29;88509,93;57761,53;74470,95;83940,62;75771,19;68675,01;51503,02;60796,59;78245,92;58399,86;57110,88;30367,05;47167,86;37390,05;56466,78;54701,25;47424,12;46228,21;44509,63;41850,83;42087,42;34702,01;48822,18;64334,57;45423,74;39136,08;60599,22;48101,19;55288,12;49985,01;51356,96;47682,45;53997,90;52848,74;45879,87;34423,43;80678,08;62971,99;58288,54;103885,15;65252,73;76135,69;76945,92;61497,50;87016,35;74668,98;105031,53;47793,22;99486,26;61060,57;73569,21;54624,97;58885,86;64524,55;66296,71;165171,05;106387,44;150184,86;95017,32;45760,22;51506,59;73818,81;105397,22;12065906,74
"230040 Aiuaba";-;-;-;-;-;-;-;-;-;-;403,09;4261,59;6830,40;3434,60;5143,67;2308,77;3198,82;2500,16;4901,68;5543,37;5794,86;4183,12;5782,29;4129,62;5024,66;768,30;6341,86;3713,21;5323,95;8371,01;4836,09;6072,22;2627,62;7526,62;8018,78;6228,51;3524,30;8833,52;6319,70;6270,49;6542,21;7298,65;3982,59;1697,44;3068,73;5627,01;3216,81;1755,92;4228,72;5200,37;5331,52;7737,31;3982,98;2284,79;4618,40;443,40;5527,19;4708,41;4155,22;4339,30;2659,90;7046,32;4723,02;6595,34;4783,43;3047,90;7053,40;5003,63;3982,13;2393,52;1369,54;1646,82;2479,32;5639,82;6140,92;10478,01;5383,51;4785,11;5686,72;2225,10;2467,45;6252,79;4253,64;2563,94;198,81;907,32;2159,74;582,42;-;5655,32;-;3426,26;4028,24;1152,52;1687,24;902,80;8002,80;5885,57;1846,42;3628,18;214,70;8684,85;-;-;-;907,32;1033,82;451,40;2739,02;1938,97;1337,84;-;3399,72;218,68;3088,93;1703,90;801,10;443,40;480,87;582,42;614,30;543,58;1029,34;1523,19;2446,72;1898,04;1843,36;699,46;1632,22;17984,13;3360,28;7602,16;3378,28;9159,94;6644,26;5111,26;7151,78;2331,63;2115,71;3382,57;5594,39;5536,85;5629,00;1011,88;6764,27;3368,92;5484,27;8075,72;10645,71;13866,98;10248,08;8356,49;4969,15;8885,21;7068,64;6805,24;9594,64;9380,00;11171,86;10572,57;7831,25;11732,13;9636,92;7718,71;8824,78;10461,70;5503,62;2556,26;-;-;-;708463,16
"230060 Altaneira";-;-;-;-;-;-;-;-;-;-;266,02;1170,68;5132,26;5457,49;3989,24;6582,48;3680,94;3621,59;3683,18;3184,17;6127,03;7352,74;6021,21;5399,24;4980,30;3255,27;5446,97;6440,97;5156,04;7124,09;5968,54;3091,84;2500,27;1868,99;3527,66;-;3995,42;4969,50;3317,64;3697,91;4371,26;4222,12;10362,68;7290,36;6378,33;3510,10;6202,75;5569,63;3061,33;10959,27;17571,83;11612,55;12157,93;6425,05;8682,89;12019,12;7203,90;11089,72;12496,33;6402,69;5823,89;7493,57;8177,07;4475,42;7566,34;3758,78;5366,46;6466,31;1064,99;4439,72;4368,37;1417,19;-;186,06;1894,51;1476,60;1503,97;1120,73;729,80;1164,68;3343,00;1471,13;-;3438,43;776,95;620,89;-;2221,90;3326,95;701,46;3994,10;5420,46;4331,06;2299,12;3081,46;3430,98;1696,97;2872,17;665,80;1569,16;1805,51;1574,43;2892,20;1475,15;1869,95;904,19;1738,47;2228,45;2119,15;1818,43;6517,75;3953,00;1121,28;5043,45;3696,17;5068,02;3353,29;2524,74;3462,69;1164,84;6285,07;5899,47;17855,79;9938,70;7050,02;6696,86;7326,69;7518,03;4069,46;6224,64;3792,91;8883,57;11449,61;8293,25;11586,89;8550,34;6677,15;7382,83;7528,85;7224,65;9106,14;12079,91;5870,13;6042,36;5855,89;4712,56;10353,83;9468,87;10333,84;4937,35;4511,88;6413,93;6461,86;6152,38;4450,18;4911,29;4066,15;8667,27;4479,03;4326,64;5231,64;4853,56;1864,09;5696,54;11023,18;4293,90;3444,62;-;-;-;-;792530,93
"230070 Alto Santo";-;-;-;-;-;-;-;-;1744,07;1174,73;586,69;1922,82;15458,40;19518,12;22510,59;26965,02;23563,80;20256,12;21198,26;17766,92;18696,11;19645,33;14364,66;15228,08;30867,05;22547,67;35088,03;25975,27;18629,05;21651,99;19800,56;19898,57;20802,47;15878,75;16647,73;13091,65;20479,75;25166,04;18644,93;24743,26;28483,95;19877,80;23539,67;17298,82;21704,18;16522,22;29784,28;19396,51;38960,25;26949,40;34380,99;23607,18;22487,98;18180,47;11022,35;15346,00;15497,46;23416,08;26239,53;20242,45;20535,54;23072,51;25242,50;27838,49;19785,15;14329,99;23849,75;31179,33;17396,84;21082,53;20736,58;21519,28;20000,31;21271,42;27066,87;27391,84;28938,75;21950,21;17258,28;19473,85;14029,49;11464,43;10295,14;15613,47;15582,95;13207,44;16643,04;14832,69;14920,68;28004,56;24675,72;21123,24;12744,58;11461,60;16843,69;9949,96;8944,28;10515,42;16025,99;14260,05;14450,70;9378,44;10442,08;6612,66;7775,39;7768,27;5166,79;9736,81;8965,36;9680,81;16121,30;18854,02;12449,24;8773,85;14877,71;8539,44;9759,87;5129,12;4443,51;3741,89;10771,43;3616,32;8349,27;7480,07;6732,24;6812,44;8232,46;6415,77;5846,09;3027,37;4907,26;5543,39;3293,23;7593,93;8385,81;9685,02;9796,34;5960,19;3066,32;7097,92;5268,98;5694,03;6263,79;3854,87;3417,37;4331,57;5419,03;7802,78;8892,75;5119,70;4586,81;5324,51;4657,66;3228,28;5497,84;4645,86;2471,82;6863,68;5161,74;4271,60;8069,56;11621,03;5244,45;7348,05;10093,74;5207,63;891,69;1648,24;2269,24;6064,24;6747,80;2287768,97
"230075 Amontada";-;-;-;-;-;-;-;-;-;-;1069,78;6554,58;36307,00;30086,42;29424,45;33248,51;35240,94;34814,23;27407,70;27336,73;22608,62;30204,67;18615,68;34215,51;22559,51;25148,72;30237,59;26427,47;35038,90;35232,14;27731,92;30655,05;27102,14;21395,81;24378,36;23260,73;20996,90;21434,26;23908,61;24205,42;20565,16;23032,03;20620,06;22300,27;22358,06;15905,79;10598,48;15587,80;15972,81;16243,30;17708,53;15756,25;10831,14;14396,95;13408,18;13957,37;10107,42;9083,60;15318,38;6789,07;9274,65;12972,03;12785,31;18217,24;16113,07;14628,42;9179,90;8259,92;6394,58;7464,62;10159,90;8957,28;13272,98;10055,83;8210,75;6306,25;2825,88;3140,74;414,14;3312,02;2070,88;4923,80;2263,08;3620,35;2395,42;7452,86;6285,35;5621,86;8230,90;7453,71;7944,88;14495,93;9419,14;8432,99;8062,72;1866,56;2534,19;3770,78;1030,02;1756,14;1500,60;5574,12;5242,60;3447,90;6244,56;939,04;443,40;443,40;5379,21;4011,75;2272,48;7171,44;6907,33;2162,70;3410,06;4260,92;3137,52;2648,64;-;-;1354,20;-;1797,60;-;1773,60;443,40;2660,40;1773,60;1192,78;1678,93;3755,66;2965,31;886,80;443,40;220,50;1330,20;-;-;3790,56;2651,46;2307,70;765,08;2205,24;925,69;1680,12;614,30;5703,78;3779,89;3423,72;1321,26;3341,15;1182,80;2918,76;2961,02;4122,66;1773,60;3343,60;7744,03;3340,70;5780,20;10523,46;14117,48;6993,04;7775,87;8185,70;4445,18;3337,45;-;-;-;-;1597495,62
"230080 Antonina do Norte";-;-;-;-;-;-;-;-;-;-;1654,53;1903,67;5001,54;3621,62;8360,87;9337,24;5261,16;4532,72;4945,69;13727,77;6997,58;13432,49;9835,93;5183,57;5515,15;9355,87;19613,76;11912,67;14767,60;7864,11;7101,84;5960,41;4553,58;9824,45;8645,04;9914,42;6760,69;6094,00;10498,12;12504,82;11066,47;2572,00;10041,14;5713,49;8331,40;5028,91;5117,37;6476,88;7992,84;7182,25;8317,02;6888,55;6551,66;4729,93;6538,51;8702,85;8852,92;10046,06;8153,79;9924,83;3385,08;1958,77;1850,78;3730,77;947,12;3199,39;3772,95;2426,87;5407,08;1604,40;2422,25;2896,97;4570,63;8357,43;10206,57;5956,95;-;-;-;-;-;-;-;-;3182,32;1591,77;3950,10;-;-;-;1792,88;2689,21;423,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3318,55;2146,21;847,82;2604,47;4806,01;2598,30;1912,62;2525,04;1491,88;2389,27;2373,23;7140,41;6221,59;1634,21;1309,31;617,82;2051,64;2634,06;2550,00;322,48;1771,98;907,32;2335,13;1025,82;736,02;3744,39;2875,05;2574,70;1255,43;582,42;443,40;-;-;-;-;189,67;443,40;582,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204,50;3168,51;4750,08;548320,75
"230090 Apuiarés";-;-;-;-;-;-;-;-;-;-;-;436,74;3632,72;7333,46;6073,16;6364,70;8065,60;4873,09;3086,68;2043,33;4494,06;2498,83;1743,53;2245,71;8505,39;1889,04;5126,94;3659,56;3804,30;2343,31;5004,18;1243,92;585,24;3689,44;4144,63;2382,14;1278,32;1426,20;2798,60;3130,44;3876,76;6768,71;2637,62;5272,28;1692,13;4217,24;3096,50;3636,16;5083,62;7929,77;5305,38;4676,43;7975,14;6647,23;5925,89;5336,43;4339,44;3784,24;4555,01;3735,46;5314,17;5787,46;3947,86;4048,37;3161,22;4251,32;1105,70;3626,04;6844,04;4538,47;2822,76;3442,82;3145,30;2015,68;2071,62;6207,90;14710,38;582,42;292,62;2635,56;2220,30;3057,92;736,02;2905,26;4204,24;1551,98;2213,07;4769,92;6331,84;5237,22;647,90;292,62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2244,38;-;292,62;1608,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1674,26;6953,66;5639,91;2573,12;9142,20;5739,51;3472,81;8021,46;8516,52;4755,00;7106,29;10331,36;7930,35;9935,92;5394,42;7533,03;9513,97;8338,45;2283,76;5718,77;6425,40;3714,37;-;6651,82;1074,49;5311,38;28620,66;21613,28;6346,31;9776,50;4050,17;3043,08;1905,74;-;-;-;-;548367,91
"230100 Aquiraz";-;-;-;-;-;-;-;-;-;45760,33;23128,65;27063,52;32691,95;38976,33;40526,57;43018,62;51533,17;47209,63;52320,94;35345,99;33032,92;25639,23;17508,51;17617,12;21958,35;27895,17;34140,83;46701,44;40083,94;38531,19;51891,49;45689,21;44405,30;54295,09;32960,57;29341,69;33977,83;24875,41;24233,04;37754,82;37150,85;40364,97;43465,91;43954,90;41924,81;49171,82;45229,78;38535,37;34652,85;45733,41;47052,74;49646,45;57271,73;46805,86;41833,12;57517,66;48729,54;29642,39;40216,02;30757,38;35334,93;40216,57;44087,84;37452,97;42247,54;38197,76;41936,61;53811,49;40799,21;41576,60;40851,62;23093,81;31045,84;27636,39;47696,28;41036,24;47238,46;51322,98;24394,86;59669,98;50684,20;49856,24;46801,32;44742,33;50157,88;44532,54;47659,43;64653,58;61678,88;67289,88;53876,32;69471,68;77075,24;48518,21;50718,75;53989,87;56234,54;42574,61;55969,89;63380,94;66414,36;49230,07;60640,01;42833,61;38642,48;36461,45;39065,25;37093,36;36287,41;39552,20;44707,99;46882,05;49481,62;62473,36;35997,34;37839,57;71887,42;24499,63;20435,79;16318,61;22666,90;29861,05;28418,86;14165,80;8243,15;11402,79;15979,77;19929,51;16084,17;18915,51;16159,86;15721,80;21630,10;22056,63;23228,21;31226,10;26911,93;20929,89;31279,31;24954,02;93370,36;38182,86;33152,67;24505,77;32020,56;27691,18;27901,02;38559,10;33755,00;33550,81;32818,82;24078,37;30307,97;39032,37;34086,70;38462,53;48763,70;44520,60;46663,56;51661,57;94216,74;59235,77;45481,78;39012,25;41704,15;51545,80;41126,42;38333,40;79837,39;76158,81;111180,74;6626708,43
"230110 Aracati";-;-;-;-;-;-;-;-;1380,58;5161,13;4312,30;3194,50;7465,01;45280,73;49833,65;132934,23;167819,62;143282,01;162232,22;184845,99;185146,66;180929,26;144027,40;137560,15;140580,49;158005,69;189013,25;209823,02;235732,15;238106,40;179354,62;200565,74;198351,87;191633,87;186537,42;154017,47;143449,99;155968,95;201770,91;180430,42;234331,29;198613,01;171750,47;164144,62;187988,68;163663,72;143055,27;135585,66;145901,03;171015,57;189141,37;217179,71;192636,27;189487,16;167685,16;169585,83;168083,23;178299,52;174840,35;157115,61;143621,21;151258,74;139340,27;162107,44;159522,31;138508,46;145526,67;141154,53;137076,09;161159,73;127544,44;121189,45;133848,52;127210,54;141999,85;135999,59;153683,38;137861,21;158892,49;140274,99;153267,38;159414,67;151586,00;133802,88;152938,26;138799,66;138390,36;158623,69;169290,97;166627,28;164213,91;144185,83;185595,71;187311,17;177204,46;132843,88;149720,33;140976,79;179563,13;204095,69;200461,22;164726,12;158988,39;178422,21;172315,86;176069,22;181134,15;163171,36;150569,00;150811,54;144914,27;161390,87;171604,64;188056,57;147967,75;156896,93;153192,66;136829,14;121133,69;100420,24;145064,47;128078,85;170590,21;169747,12;168715,04;162910,96;160911,91;187390,74;172136,57;176194,38;160952,54;150043,50;162542,15;155103,11;175681,11;192893,07;203803,50;198616,00;189315,25;199223,81;171801,93;182298,09;168103,60;175306,11;174307,99;177224,16;186446,48;180359,85;184788,33;174047,95;164810,88;145115,86;165136,80;192499,91;189447,19;187316,06;177476,13;161660,65;156244,98;133855,56;222686,34;210625,97;183677,21;146850,33;178113,10;167771,61;167759,49;150195,00;174215,81;154488,53;129135,56;26027840,77
